Performing Artist,Presenting Organization,Concert Date,Start Time,End Time,Concert Location,Location,Supervisor District,Year,Contact,Contact Info
Orquesta Charangoa,LA County Beaches and Harbors,10/08/2017,12:00 PM,3:00 PM,Burton Chace Park,"13650 Mindanao Way
Marina del Rey, CA 90292
(33.977946, -118.444032)",4,2017,Monica-Sarah Roldan,310-305-9548
Jumpin' Joz Band,City of Norwalk Senior Center,08/20/2016,1:00 PM,4:00 PM,Norwalk Senior Center,"14040 San Antonio Dr
Norwalk, CA 90650
(33.903928, -118.080644)",4,2016,Daniel Abrego,562-929-5666
Lao Tizer,Los Angeles County Museum of Art,07/05/2019,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Los Angeles County Museum of Art,"5905 Wilshire Blvd
Los Angeles, CA 90036
(34.06263, -118.357831)",3,2019,Lauren Samchisen,
Dawn Norfleet,"Musicians at Play Foundation, Inc.",07/14/2016,1899-12-31T19:30:00.000,1899-12-31T21:00:00.000,Courtyard of the Alex Theater,"216 North Brand Boulevard
Glendale, CA 91203
(34.148787, -118.25496)",5,2016,Cynthia Pease,818-257-0733
Mariachi Espectacular,El Camino Real Library,07/10/2019,1899-12-31T16:00:00.000,1899-12-31T17:00:00.000,El Camino Real Library,"4264 E Whittier Blvd
Los Angeles, CA 90023",1,2019,Kathy Teague,
UPSTREAM,Altadena Library District,10/08/2016,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,Altadena Library,"600 E Mariposa St
Altadena, CA 91001
(34.189559, -118.137033)",5,2016,Mindy Kittay,626-798-0833
Rosalie Elena,LA County Parks and Recreation- Belvedere Park,08/01/2019,1899-12-31T18:00:00.000,1899-12-31T21:00:00.000,Belvedere Park,"4914 Cesar Chavez Ave
Los Angeles, CA 90022
(34.04063, -118.158855)",1,2019,Anthony Brand,
Mariachi Espectacular,City of La Mirada,07/26/2018,1899-12-31T18:30:00.000,1899-12-31T20:00:00.000,La Mirada Creek Park,"12021 Santa Gertrudes Avenue
La Mirada 90638
(33.922716, -117.994394)",4,2018,,
The Echo Park Project,"City of San Fernando, Inc.",08/30/2015,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,San Fernando Recreation Park,"208 Park Ave
San Fernando, CA 91340
(34.281019, -118.434699)",1,2015,Jazmyn Jasso,818-361-7155
Mariachi Divas,City of Inglewood,09/16/2017,11:00 AM,5:00 PM,Crozier Middle School,"120 W Regent Street
Inglewood, CA 90301
(33.964416, -118.355631)",2,2017,Teresa Estrada,310-412-5396
Boogaloo Assassins,Mortimer and Mimi Levitt Foundation  Inc.,08/04/2018,1899-12-31T20:00:00.000,1899-12-31T21:30:00.000,Levitt Pavilion Los Angeles in MacArthur Park,"W S 6th Street
Los Angeles 90057",1,2018,,
Yolanda Johnson & Her Allstar Band,Colonel Leon Washington Park- LAC Parks,07/28/2019,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Washington Park,"8908 Maie Ave
Los Angeles, CA 90002
(33.956043, -118.244123)",2,2019,Bryan Spragg,
Jumpin' Joz Band,Los Angeles County Department of Parks and Recreation,09/15/2016,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Steinmetz Park,"1545 S Stimson Ave
Hacienda Heights, CA 91745
(34.002258, -117.960003)",4,2016,MargaretTrujillo,626-934-7041
Mariachi Divas,LA County Parks and Recreation,08/01/2019,1899-12-31T18:00:00.000,1899-12-31T21:00:00.000,Roosevelt Park,"7600 Graham Ave
Los Angeles, CA 90001
(33.970204, -118.243026)",2,2019,Steven Rios,
Mariachi Espectacular,Los Angeles County Department of Parks and Recreation,07/19/2016,1899-12-31T18:00:00.000,1899-12-31T20:30:00.000,Mayberry Park,"13201 E Meyer Rd
Whittier, CA 91744
(33.929237, -118.051323)",4,2016,Marisela Mena,562-944-9727
Yari Moré Latin Band,City of San Gabriel - San Gabriel Mission Playhouse,09/16/2016,7:00 PM,9:00 PM,San Gabriel Mission Playhouse,"320 S Mission Drive
San Gabriel, CA 91776
(34.098528, -118.109198)",5,2016,Jonathan Salisbury,626-308-2865
Cuicani,LAC+USC Medical Center Foundation  Inc.,08/10/2019,1899-12-31T11:00:00.000,1899-12-31T13:00:00.000,The Wellness Center,"1200 N State St
Los Angeles, CA 90033
(34.059872, -118.210308)",1,2019,Nick Moghadassi,
Cuicani,Bell Library,08/13/2016,2:00 PM,3:00 PM,Bell Library,"4411 Gage Ave
Bell, CA 90201
(33.97818, -118.1885)",1,2016,Diane Zaher,323-560-2149
El-Haru Kuroi,West Covina Library,10/14/2017,2:00 PM,3:00 PM,West Covina Library,"1601 West Covina Parkway
West Covina, CA 91790
(34.070752, -117.940774)",1,2017,Wen Wen Zhang,626-962-3541
Yari More Latin Band,Norwalk Senior Center,08/29/2019,1899-12-31T18:00:00.000,1899-12-31T21:00:00.000,Norwalk Senior Center,"14040 San Antonio Dr
Norwalk, CA 90650
(33.903928, -118.080644)",4,2019,Daniel Abrego,
Najite & Olokun Prophecy,LA Commons,06/28/2015,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Leimert Park Plaza and Park,"4343 Leimert Blvd
Los Angeles, CA 90008
(34.004409, -118.330616)",2,2015,Heather Hoggan,323-363-1206
The Milky Way,Parks & Recreation,07/14/2018,1899-12-31T18:30:00.000,1899-12-31T20:30:00.000,Mary Bethune Park,"1244 E 61st Street
Los Angeles 90001
(33.98432, -118.253087)",2,2018,,
L.A. Blue Casters,Parks & Recreation,08/19/2018,1899-12-31T14:00:00.000,1899-12-31T17:00:00.000,Monteith Park,"Monteith Dr
Los Angeles 90043",2,2018,,
Orquesta Charangoa,Burton Chace Park,10/11/2015,1899-12-31T13:00:00.000,1899-12-31T15:00:00.000,Burton Chase Park,"13650 Mindanao Way
Marina Del Rey, CA 90292
(33.977946, -118.444032)",4,2015,Monica-Sarah Roldan,310-305-9548
The Bonedaddys,City of Torrance,08/19/2017,4:00 PM,6:00 PM,Gazebo at Wilson Park,"2200 Crenshaw Blvd
Torrance, CA 90503
(33.826224, -118.328549)",4,2017,Eve Rappoport,310-618-2380
El Haru Kuroi,Lynwood Union,08/16/2018,1899-12-31T18:00:00.000,1899-12-31T21:00:00.000,The Lynwood Union Gallery,"3780 Martin Luther King Jr Blvd
Lynwood 90262
(33.929015, -118.200963)",2,2018,,
Stix,Parks & Recreation,08/03/2018,1899-12-31T18:00:00.000,1899-12-31T22:00:00.000,Helen Keller Park,"12521 S Vermont Ave
Los Angeles 90044
(33.918736, -118.291833)",2,2018,,
Teresa James and the Rhythm Tramps,South Pasadena Arts Council,09/28/2017,5:00 PM,6:30 PM,South Pasadena Public Library,"1115 El Centro Street
South Pasadena, CA 91030
(34.114749, -118.154985)",5,2017,Howard Spector,310-741-7650
Mariachi Divas,La County Dept. of Parks & Recreation,07/18/2019,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Rimgrove Park,"747 N Rimgrove Dr
Valinda, CA 91744
(34.031044, -117.919616)",1,2019,Angelica Prado,
Marisa Ronstadt & The Know it Alls,Campanella Park,07/11/2015,1899-12-31T18:00:00.000,1899-12-31T20:00:00.000,Campanella Park,"14812 Stanford Ave
Compton, CA 90220
(33.897956, -118.261015)",2,2015,Craig Newman,310-603-3720
Lucky Diaz and The Family Jam Band,Malibu Library,10/25/2017,3:30 PM,4:30 PM,Malibu Library,"23519 W Civic Center Way
Malibu, CA 90265
(34.036092, -118.690086)",3,2017,Melissa Stallings,(310) 456-6438
Viento Callejero,City of Maywood,08/29/2015,1899-12-31T20:00:00.000,1899-12-31T21:00:00.000,Riverfront Park,"5000 Slauson Ave
Maywood, CA 90270",2,2015,Aldo Perez,323-562-5744
Brasil Brazil Show,East Rancho Domingez Park- LAC Parks,07/20/2019,1899-12-31T19:00:00.000,1899-12-31T21:30:00.000,East Rancho Dominguez Park,"15116 ATLANTIC AVE
COMPTON, CA 90221",2,2019,Yvette Maufas,
Susie Hansen Latin Band,Museum Associates dba LA County Museum of Art,08/13/2016,1899-12-31T17:00:00.000,1899-12-31T19:00:00.000,Los Angeles County Museum of Art,"5905 Wilshire Blvd
Los Angeles, CA 90036
(34.06263, -118.357831)",3,2016,Claire Kim-Shin,323-857-6115
