ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-232915,2,07/09/2021 16:33,07/09/2021 18:45,34.071957,-118.225198,34.071827,-118.223009,0.126,Stationary traffic from Bishops Rd (N Broadway) to I-5/Golden Hwy (N Broadway) due to accident.,,N Broadway,R,Los Angeles,Los Angeles,CA,90012,US,US/Pacific,KCQT,07/09/2021 16:52,79,79,60,29.67,10,W,7,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-233443,2,09/05/2021 16:10,09/05/2021 18:19,34.033239,-118.169146,34.033357,-118.169139,0.008,Accident from E 3rd St (S Ford Blvd) to E Cesar E Chavez Ave (N Ford Blvd).,4500, E 3rd St,L,Los Angeles,Los Angeles,CA,90022-1613,US,US/Pacific,KCQT,09/05/2021 15:52,70,,57,29.67,10,,,0,Fair,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-233863,2,24/08/2021 06:52,24/08/2021 09:59,33.995329,-118.144898,34.006178,-118.154945,0.945,Slow traffic on I-5 N - Santa Ana Fwy N from Garfield Ave/Bandini Blvd (I-5) to Atlantic Blvd/Eastern Ave (I-5) due to accident.,,I-5 N,R,Los Angeles,Los Angeles,CA,90040,US,US/Pacific,KCQT,24/08/2021 06:52,62,62,86,29.72,9,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-236060,2,04/03/2021 09:34,04/03/2021 18:59,34.03122,-118.274582,33.979171,-118.281003,3.615,Stationary traffic on I-110 S - Harbor Fwy S from I-110/I-10/Santa Monica Fwy (I-110) to Gage Ave (I-110) due to accident.,,Harbor Fwy S,R,Los Angeles,Los Angeles,CA,90007,US,US/Pacific,KCQT,04/03/2021 09:52,60,60,51,30.05,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-236344,2,11/11/2021 10:02,11/11/2021 23:00,33.975205,-118.278299,33.975591,-118.2783,0.027,Accident from W Florence Ave (S Broadway) to W Gage Ave (S Broadway).,7137, S Broadway,L,Los Angeles,Los Angeles,CA,90003-1802,US,US/Pacific,KHHR,11/11/2021 09:53,80,80,30,30.03,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-236657,2,09/12/2021 08:59,09/12/2021 11:28,34.021565,-118.36718,34.02104,-118.372466,0.305,Stationary traffic from Hauser Blvd to Bowcroft St due to accident.,5598, Obama Blvd,L,Los Angeles,Los Angeles,CA,90016,US,US/Pacific,KSMO,09/12/2021 09:02,55,55,96,29.78,3,SW,8,0.02,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-244015,2,15/11/2021 08:13,15/11/2021 11:34,34.030805,-118.258992,34.029985,-118.257002,0.127,Accident on Maple Ave/Los Angeles St (I-10) from San Pedro St (I-10) to Santa Monica Fwy E - I-10 E.,,I-10 E,R,Los Angeles,Los Angeles,CA,90015,US,US/Pacific,KCQT,15/11/2021 07:52,,,,,0.75,,,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-244333,2,15/06/2021 12:24,15/06/2021 14:34,33.958559,-118.231222,33.95741,-118.229918,0.109,Slow traffic from E Manchester Ave to Calden Ave due to accident.,8669, S Alameda St,R,Los Angeles,Los Angeles,CA,90002-1542,US,US/Pacific,KHHR,15/06/2021 12:53,83,83,46,29.8,10,W,8,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-244651,2,13/10/2021 07:15,13/10/2021 10:50,34.055571,-118.1981,34.05519,-118.211842,0.787,Stationary traffic from exit [19C] to I-10 W due to accident.,,I-10 W,R,Los Angeles,Los Angeles,CA,90033,US,US/Pacific,KCQT,13/10/2021 06:52,52,52,37,29.75,10,N,3,0,Fair,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-245077,2,18/10/2021 15:56,18/10/2021 18:13,33.97465,-118.284211,33.974662,-118.282065,0.123,Slow traffic from S Vermont Ave (Florence Ave) to I-110 (Florence Ave) due to accident.,606, W Florence Ave,L,Los Angeles,Los Angeles,CA,90044-6104,US,US/Pacific,KHHR,18/10/2021 15:53,65,65,50,29.86,10,W,8,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-245653,2,23/07/2021 14:18,23/07/2021 14:52,34.083523,-118.305764,34.083552,-118.30045,0.304,Stationary traffic from N Western Ave (Melrose Ave) to US-101/CA-2/Hollywood Fwy (Melrose Ave) due to accident.,698, N Hobart Blvd,R,Los Angeles,Los Angeles,CA,90004-1817,US,US/Pacific,KCQT,23/07/2021 13:52,82,,54,29.82,9,,,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-245732,2,28/10/2021 11:47,28/10/2021 14:16,34.055241,-118.450833,34.055743,-118.452269,0.089,Stationary traffic from Ohio Ave to I-405 N due to accident.,,S Sepulveda Blvd,R,Los Angeles,Los Angeles,CA,90025,US,US/Pacific,KSMO,28/10/2021 11:51,81,81,30,29.84,10,SSW,5,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-250478,2,08/07/2021 17:48,08/07/2021 19:54,33.974728,-118.236829,33.974673,-118.233776,0.175,Slow traffic from Compton Ave (Florence Ave) to Pacific Blvd (Florence Ave) due to accident.,7201, Crockett Blvd,R,Los Angeles,Los Angeles,CA,90001-2721,US,US/Pacific,KCQT,08/07/2021 17:52,78,78,60,29.61,10,CALM,0,0,Fair,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-251854,2,20/11/2021 14:57,20/11/2021 18:54,33.974726,-118.237251,33.974673,-118.233776,0.199,Slow traffic from Compton Ave (Florence Ave) to Pacific Blvd (Florence Ave) due to accident.,1951, E Florence Ave,L,Los Angeles,Los Angeles,CA,90001-2745,US,US/Pacific,KCQT,20/11/2021 14:52,62,62,70,29.83,3,VAR,3,0,Haze,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-252155,2,23/10/2021 14:38,23/10/2021 16:52,34.05923,-118.184949,34.059368,-118.185151,0.015,Accident from I-10 W to Medford St.,1576, N Herbert Ave,L,Los Angeles,Los Angeles,CA,90063-1937,US,US/Pacific,KCQT,23/10/2021 14:52,68,68,65,29.64,10,WSW,5,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-252752,2,09/12/2021 08:59,09/12/2021 11:20,34.021565,-118.36718,34.02104,-118.372466,0.305,Stationary traffic from Hauser Blvd to Bowcroft St due to accident.,5598, Obama Blvd,L,Los Angeles,Los Angeles,CA,90016,US,US/Pacific,KSMO,09/12/2021 09:02,55,55,96,29.78,3,SW,8,0.02,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-252954,2,11/09/2021 10:25,11/09/2021 20:40,34.034718,-118.338308,34.038055,-118.274757,3.646,Slow traffic on Santa Monica Fwy E - I-10 E from La Brea Ave (I-10) to I-110/CA-110/Harbor Fwy (I-10) due to accident.,,I-10 E,R,Los Angeles,Los Angeles,CA,90016,US,US/Pacific,KSMO,11/09/2021 10:51,76,76,56,29.8,10,SSW,6,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-253772,2,06/11/2021 14:12,06/11/2021 16:55,33.974648,-118.284869,33.974662,-118.282065,0.161,Slow traffic from S Vermont Ave (Florence Ave) to I-110 (Florence Ave) due to accident.,7199, Estrella Ave,R,Los Angeles,Los Angeles,CA,90044-6244,US,US/Pacific,KHHR,06/11/2021 13:53,64,64,70,29.96,3,W,8,0,Haze,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-254141,2,06/12/2021 14:10,06/12/2021 19:31,34.001078,-118.174674,33.979566,-118.167567,1.541,Slow traffic on I-710 S - Long Beach Fwy S from Washington Blvd (I-710) to Florence Ave (I-710) due to accident.,,I-710 S,R,Los Angeles,Los Angeles,CA,90058,US,US/Pacific,KCQT,06/12/2021 14:17,65,65,68,29.79,3,CALM,0,0,Haze,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-254299,2,04/12/2021 11:58,04/12/2021 20:37,33.99572,-118.280651,33.964163,-118.281039,2.18,Slow traffic on I-110 S - Harbor Fwy S from 51st St (I-110) to CA-42/Manchester Ave (I-110) due to accident.,,Harbor Fwy S,R,Los Angeles,Los Angeles,CA,90037,US,US/Pacific,KCQT,04/12/2021 11:52,60,60,67,29.94,2,W,3,0,Haze,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-254633,2,02/12/2021 08:59,02/12/2021 11:44,34.138205,-118.276507,34.150488,-118.28051,0.879,Accident on Los Feliz Blvd (I-5) from Zoo Dr (I-5) to Golden State Fwy N - I-5 N.,,Golden State Fwy N,R,Los Angeles,Los Angeles,CA,90027,US,US/Pacific,KCQT,02/12/2021 08:52,52,52,93,29.95,1,CALM,0,0,Fog,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-254641,2,09/07/2021 13:27,09/07/2021 13:51,33.982391,-118.278957,33.981894,-118.282669,0.215,Stationary traffic from S Broadway to W 63rd Pl due to accident.,314, W Gage Ave,R,Los Angeles,Los Angeles,CA,90003-1439,US,US/Pacific,KHHR,09/07/2021 13:53,78,78,60,29.85,10,W,10,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-254818,2,28/11/2021 15:11,28/11/2021 16:16,34.047328,-118.270064,34.045878,-118.271024,0.114,Stationary traffic from W Olympic Blvd (Blaine St) to CA-110/W 11th St (Blaine St) due to accident.,1297, W Olympic Blvd,R,Los Angeles,Los Angeles,CA,90015-3905,US,US/Pacific,KCQT,28/11/2021 14:52,73,73,25,29.89,10,VAR,3,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-254896,2,11/08/2021 16:56,11/08/2021 17:44,33.974734,-118.241741,33.974674,-118.234669,0.405,Slow traffic from Compton Ave (Florence Ave) to S Alameda St (Florence Ave) due to accident.,1740, E Florence Ave,R,Los Angeles,Los Angeles,CA,90001-2524,US,US/Pacific,KCQT,11/08/2021 16:52,80,80,42,29.69,8,W,3,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-254899,2,15/04/2021 06:45,15/04/2021 16:45,34.114273,-118.242731,34.108671,-118.249755,0.558,Slow traffic on CA-2 S - Glendale Fwy S from exit [14] to CA-2 exit [13A] due to accident.,,CA-2 S,R,Los Angeles,Los Angeles,CA,90065,US,US/Pacific,KCQT,15/04/2021 06:52,52,52,71,29.8,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-255000,2,07/12/2021 15:58,07/12/2021 18:14,33.961091,-118.231788,33.95741,-118.229918,0.276,Stationary traffic from E 85th St to Calden Ave due to accident.,8501, S Alameda St,R,Los Angeles,Los Angeles,CA,90001,US,US/Pacific,KCQT,07/12/2021 15:52,63,63,63,29.75,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-255345,2,01/03/2021 07:15,01/03/2021 10:13,34.12148,-118.229837,34.109227,-118.249485,1.407,Stationary traffic on CA-2 S - Glendale Fwy S from York Blvd (CA-2) to I-5/Golden Hwy (CA-2) due to accident.,,CA-2 S,R,Los Angeles,Los Angeles,CA,90065,US,US/Pacific,KCQT,01/03/2021 06:52,51,51,24,30,10,NNE,3,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-255872,2,12/11/2021 14:49,12/11/2021 16:51,34.050566,-118.434356,34.049164,-118.439193,0.293,Slow traffic on CA-2 from S Beverly Glen Blvd (S Santa Monica Blvd) to S Sepulveda Blvd (S Santa Monica Blvd) due to accident.,10793, Santa Monica Blvd,L,Los Angeles,Los Angeles,CA,90024,US,US/Pacific,KSMO,12/11/2021 14:51,84,84,20,29.81,10,WSW,6,0,Fair,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-256229,2,30/10/2021 13:12,30/10/2021 17:02,34.03437,-118.350153,34.032301,-118.388671,2.21,Slow traffic on I-10 W - Santa Monica Fwy W from Crenshaw Blvd (I-10) to Robertson Blvd (I-10) due to accident.,,I-10 W,R,Los Angeles,Los Angeles,CA,90016,US,US/Pacific,KSMO,30/10/2021 12:51,66,66,73,29.77,9,SW,7,0,Fair,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-257193,2,12/12/2021 15:39,12/12/2021 17:56,33.961091,-118.231788,33.95741,-118.229918,0.276,Slow traffic from E 85th St to Calden Ave due to accident.,8501, S Alameda St,R,Los Angeles,Los Angeles,CA,90001,US,US/Pacific,KCQT,12/12/2021 15:52,62,62,41,29.77,10,VAR,3,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-258018,2,19/10/2021 16:54,19/10/2021 19:42,33.961091,-118.231788,33.957022,-118.230893,0.286,Slow traffic from Nadeau St (Alameda St) to E 103rd St (Alameda St) due to accident.,8501, S Alameda St,R,Los Angeles,Los Angeles,CA,90001,US,US/Pacific,KCQT,19/10/2021 16:52,65,65,61,29.77,10,WSW,5,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-258324,2,25/04/2021 17:40,25/04/2021 19:28,34.032376,-118.222395,34.023922,-118.244706,1.405,Incident on I-10 WB near S ALAMEDA ST Drive with caution.,,I-10 W,R,Los Angeles,Los Angeles,CA,90023,US,US/Pacific,KCQT,25/04/2021 17:52,62,62,60,29.64,10,VAR,5,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-258412,2,02/07/2021 11:33,02/07/2021 14:27,34.055504,-118.198421,34.054847,-118.210943,0.718,Stationary traffic from exit [19C] to I-10 W due to accident.,,I-10 W,R,Los Angeles,Los Angeles,CA,90033,US,US/Pacific,KCQT,02/07/2021 11:52,82,82,51,29.69,10,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-259541,2,29/10/2021 08:52,29/10/2021 11:08,34.035608,-118.368391,34.036193,-118.37193,0.207,Stationary traffic from W Washington Blvd to I-10 W due to accident.,5743, Electric Dr,R,Los Angeles,Los Angeles,CA,90016-1060,US,US/Pacific,KSMO,29/10/2021 08:51,68,68,55,29.75,10,SW,5,0,Fair,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-259843,2,10/11/2021 10:57,10/11/2021 13:29,33.960016,-118.283889,33.960009,-118.28198,0.109,Slow traffic from S Hoover St (Manchester Ave) to I-110/Harbor Fwy (Manchester Ave) due to accident.,526, W Manchester Ave,L,Los Angeles,Los Angeles,CA,90044-5746,US,US/Pacific,KHHR,10/11/2021 10:53,70,70,53,30.06,7,CALM,0,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-260152,2,01/04/2021 09:48,01/04/2021 14:12,34.078471,-118.228599,34.07709,-118.23035,0.138,Accident on I-5 (Los Angeles) (West) (CA-110) from Academy Rd/Solano Ave (CA-110) to Arroyo Seco Pkwy - CA-110 S - Pasadena Fwy S.,,Arroyo Seco Pkwy,R,Los Angeles,Los Angeles,CA,90012,US,US/Pacific,KCQT,01/04/2021 09:52,80,80,10,29.71,10,VAR,3,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-263137,2,15/12/2021 08:26,15/12/2021 10:37,34.034277,-118.164769,34.035186,-118.164782,0.063,Accident from E 3rd St to Gleason St.,199, S Dangler Ave,R,Los Angeles,Los Angeles,CA,90022-1635,US,US/Pacific,KCQT,15/12/2021 08:52,48,48,63,30.05,10,VAR,3,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-263509,2,24/11/2021 13:31,24/11/2021 14:10,33.960007,-118.286764,33.96002,-118.282705,0.233,Slow traffic from S Hoover St (Manchester Ave) to I-110/Harbor Fwy (Manchester Ave) due to accident.,770, W Manchester Ave,L,Los Angeles,Los Angeles,CA,90044-5759,US,US/Pacific,KHHR,24/11/2021 13:53,70,70,53,29.98,10,WSW,8,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-263933,2,14/04/2021 10:40,14/04/2021 18:17,34.046711,-118.447664,34.047783,-118.443568,0.246,Slow traffic on CA-2 from Federal Ave (Santa Monica Blvd/CA-2) to Westwood Blvd (Santa Monica Blvd/CA-2) due to accident.,11249, Santa Monica Blvd,R,Los Angeles,Los Angeles,CA,90025-3166,US,US/Pacific,KSMO,14/04/2021 10:51,58,58,62,29.82,10,WSW,6,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-264486,2,10/06/2021 15:40,10/06/2021 18:19,33.930898,-118.31343,33.93016,-118.309129,0.252,Slow traffic from S Wilton Pl to I-105 W due to accident.,1998, W Imperial Hwy,L,Los Angeles,Los Angeles,CA,90047-5022,US,US/Pacific,KHHR,10/06/2021 15:53,72,72,33,29.96,10,W,14,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-264824,2,04/11/2021 15:03,04/11/2021 18:59,34.076131,-118.469021,34.081439,-118.47349,0.447,Slow traffic on I-405 N - San Diego Fwy N from Sunset Blvd (I-405) to N Sepulveda Blvd/Getty Center Dr (I-405) due to accident.,,I-405 N,R,Los Angeles,Los Angeles,CA,90049,US,US/Pacific,KSMO,04/11/2021 14:51,61,61,87,29.76,6,SSW,8,0,Fair,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-265071,2,03/12/2021 16:05,03/12/2021 18:12,33.984581,-118.358009,33.988509,-118.359154,0.279,Slow traffic at Ladera Park Ave due to accident.,6100, S La Brea Ave,L,Los Angeles,Los Angeles,CA,90056-1822,US,US/Pacific,KLAX,03/12/2021 15:53,58,58,75,29.92,10,W,14,0,Partly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
